location,bedrooms,bathrooms,size_sqft,furnishing,rent_price
Jumeirah Beach Residence (JBR),3,4,2152,Unfurnished,203000
Dubai Sports City,1,1,953,Unfurnished,60000
Dubai Marina,2,3,1279,Unfurnished,141000
Downtown Dubai,3,3,2215,Furnished,426000
Discovery Gardens,3,4,2174,Furnished,155000
Jumeirah Beach Residence (JBR),0,1,528,Furnished,83000
Business Bay,2,2,1655,Unfurnished,139000
Dubai Marina,0,1,591,Furnished,62000
Jumeirah Beach Residence (JBR),2,3,1517,Unfurnished,177000
Dubai Marina,1,1,1112,Unfurnished,123000
Jumeirah Village Circle (JVC),1,1,1156,Partly Furnished,93000
Business Bay,0,1,445,Unfurnished,55000
Dubai Silicon Oasis,1,1,978,Furnished,67000
Discovery Gardens,1,2,916,Unfurnished,54000
Jumeirah Lake Towers (JLT),0,1,582,Furnished,62000
Palm Jumeirah,2,3,1605,Furnished,254000
Jumeirah Lake Towers (JLT),1,1,1168,Furnished,142000
Jumeirah Lake Towers (JLT),0,1,391,Furnished,44000
Jumeirah Beach Residence (JBR),2,2,1334,Furnished,231000
Discovery Gardens,2,2,1352,Furnished,81000
Business Bay,1,1,821,Unfurnished,76000
Dubai Sports City,2,2,1441,Furnished,149000
Discovery Gardens,2,3,1351,Unfurnished,80000
Discovery Gardens,1,2,718,Unfurnished,34000
Dubai Marina,1,2,847,Unfurnished,78000
International City,2,2,1447,Furnished,68000
Discovery Gardens,3,4,1816,Furnished,105000
Palm Jumeirah,0,1,498,Unfurnished,85000
Al Nahda,1,1,719,Unfurnished,29000
Dubai Sports City,1,1,1072,Furnished,85000
Jumeirah Beach Residence (JBR),3,4,2435,Unfurnished,242000
Palm Jumeirah,1,2,1047,Furnished,160000
Dubai Silicon Oasis,1,1,740,Unfurnished,39000
Jumeirah Village Circle (JVC),1,1,911,Furnished,65000
Business Bay,0,1,431,Unfurnished,47000
Discovery Gardens,0,1,635,Furnished,31000
Dubai Sports City,1,1,845,Furnished,59000
Al Nahda,1,2,1014,Furnished,70000
Jumeirah Beach Residence (JBR),1,1,1104,Unfurnished,151000
Discovery Gardens,4,5,3270,Partly Furnished,228000
Jumeirah Lake Towers (JLT),2,2,1184,Unfurnished,91000
Downtown Dubai,2,3,1548,Furnished,236000
Jumeirah Beach Residence (JBR),0,1,503,Unfurnished,60000
Downtown Dubai,1,1,753,Furnished,100000
Jumeirah Lake Towers (JLT),2,2,1402,Unfurnished,132000
Jumeirah Village Circle (JVC),2,2,1521,Furnished,156000
Business Bay,2,2,1534,Furnished,176000
Dubai Marina,2,3,1641,Furnished,269000
Jumeirah Beach Residence (JBR),0,1,533,Furnished,76000
International City,0,1,611,Unfurnished,24000
Dubai Sports City,1,1,810,Unfurnished,41000
Jumeirah Lake Towers (JLT),0,1,357,Unfurnished,31000
Jumeirah Beach Residence (JBR),3,3,1792,Furnished,248000
Discovery Gardens,2,3,1633,Unfurnished,72000
Dubai Silicon Oasis,1,2,1132,Partly Furnished,73000
Jumeirah Village Circle (JVC),2,2,1313,Unfurnished,110000
Discovery Gardens,0,1,375,Furnished,21000
Dubai Silicon Oasis,4,4,3138,Furnished,221000
Palm Jumeirah,1,2,1064,Unfurnished,114000
Business Bay,2,2,1462,Partly Furnished,131000
Palm Jumeirah,1,1,891,Unfurnished,103000
Jumeirah Beach Residence (JBR),1,1,785,Unfurnished,81000
Dubai Sports City,2,3,1493,Furnished,109000
Al Nahda,1,2,810,Furnished,44000
Al Nahda,1,2,879,Furnished,53000
Business Bay,4,4,3900,Unfurnished,297000
Dubai Sports City,1,2,1049,Unfurnished,57000
International City,3,3,2598,Partly Furnished,125000
Jumeirah Village Circle (JVC),0,1,569,Furnished,42000
International City,1,2,1134,Furnished,64000
Jumeirah Village Circle (JVC),1,1,999,Unfurnished,83000
Jumeirah Lake Towers (JLT),1,2,812,Partly Furnished,84000
Jumeirah Beach Residence (JBR),0,1,488,Furnished,65000
Palm Jumeirah,1,2,709,Partly Furnished,101000
Al Nahda,2,3,1420,Unfurnished,51000
Dubai Silicon Oasis,1,2,1118,Unfurnished,84000
Dubai Marina,4,5,4408,Furnished,637000
Downtown Dubai,0,1,645,Furnished,84000
Dubai Marina,2,2,1369,Furnished,190000
Palm Jumeirah,1,2,1109,Furnished,176000
Discovery Gardens,2,3,1394,Furnished,109000
Palm Jumeirah,1,1,842,Partly Furnished,115000
Discovery Gardens,1,1,803,Unfurnished,42000
Jumeirah Village Circle (JVC),1,1,1155,Furnished,91000
International City,1,2,930,Partly Furnished,53000
Dubai Marina,2,2,1388,Unfurnished,158000
Jumeirah Village Circle (JVC),3,3,1817,Furnished,138000
Jumeirah Village Circle (JVC),0,1,533,Partly Furnished,40000
International City,1,1,829,Unfurnished,36000
Dubai Silicon Oasis,2,2,1168,Furnished,100000
Al Nahda,1,1,1002,Unfurnished,55000
Business Bay,0,1,559,Furnished,59000
Al Nahda,3,4,2023,Furnished,103000
Downtown Dubai,2,2,1477,Unfurnished,136000
Discovery Gardens,2,2,1506,Unfurnished,66000
Dubai Sports City,1,1,1012,Unfurnished,56000
Dubai Marina,2,2,1408,Unfurnished,149000
Discovery Gardens,1,1,943,Partly Furnished,62000
Al Nahda,1,2,1046,Unfurnished,45000
Business Bay,0,1,501,Partly Furnished,42000
Discovery Gardens,1,1,762,Unfurnished,33000
Jumeirah Lake Towers (JLT),1,1,783,Unfurnished,71000
Dubai Marina,1,2,748,Unfurnished,71000
Business Bay,1,2,910,Unfurnished,90000
Jumeirah Village Circle (JVC),1,2,1123,Partly Furnished,80000
Palm Jumeirah,1,2,1175,Unfurnished,167000
Dubai Silicon Oasis,0,1,613,Furnished,53000
Downtown Dubai,1,2,861,Unfurnished,78000
Dubai Sports City,2,2,1107,Unfurnished,59000
Dubai Sports City,2,2,1427,Unfurnished,95000
Business Bay,2,2,1363,Unfurnished,125000
Al Nahda,3,3,2151,Furnished,110000
Palm Jumeirah,1,2,706,Furnished,139000
Al Nahda,0,1,385,Furnished,27000
Dubai Marina,2,2,1485,Unfurnished,135000
Discovery Gardens,1,2,921,Unfurnished,52000
Business Bay,4,5,3803,Unfurnished,417000
Discovery Gardens,1,2,908,Unfurnished,50000
Al Nahda,2,2,1458,Unfurnished,74000
International City,0,1,378,Unfurnished,13000
Jumeirah Beach Residence (JBR),3,3,1741,Partly Furnished,198000
Palm Jumeirah,2,3,1687,Unfurnished,170000
Jumeirah Lake Towers (JLT),3,4,2430,Partly Furnished,237000
Palm Jumeirah,1,1,1100,Unfurnished,142000
Al Nahda,0,1,542,Unfurnished,26000
Al Nahda,1,2,710,Unfurnished,36000
Downtown Dubai,2,3,1154,Furnished,213000
International City,1,2,938,Unfurnished,37000
Jumeirah Lake Towers (JLT),1,1,1190,Unfurnished,100000
Dubai Silicon Oasis,0,1,366,Unfurnished,24000
Downtown Dubai,1,1,830,Unfurnished,87000
Dubai Marina,0,1,361,Unfurnished,34000
Jumeirah Lake Towers (JLT),0,1,406,Unfurnished,30000
Business Bay,3,4,2360,Furnished,322000
Jumeirah Beach Residence (JBR),4,5,3612,Furnished,498000
Downtown Dubai,2,3,1115,Furnished,148000
Jumeirah Beach Residence (JBR),3,4,2034,Furnished,285000
International City,4,4,4000,Unfurnished,202000
Dubai Marina,1,2,802,Unfurnished,83000
Dubai Marina,0,1,447,Furnished,59000
Dubai Sports City,1,1,714,Furnished,60000
Dubai Silicon Oasis,2,2,1115,Unfurnished,76000
Dubai Marina,1,2,1113,Unfurnished,100000
Al Nahda,3,3,1738,Unfurnished,64000
Palm Jumeirah,0,1,585,Furnished,124000
Palm Jumeirah,2,2,1458,Partly Furnished,213000
Discovery Gardens,1,2,857,Furnished,62000
Dubai Silicon Oasis,1,1,1193,Unfurnished,59000
Al Nahda,0,1,536,Furnished,33000
Palm Jumeirah,1,2,1018,Furnished,173000
Business Bay,1,2,959,Unfurnished,113000
Al Nahda,2,2,1465,Unfurnished,59000
International City,1,1,1075,Unfurnished,40000
Jumeirah Village Circle (JVC),3,3,1719,Furnished,124000
Jumeirah Beach Residence (JBR),2,3,1244,Unfurnished,149000
Al Nahda,1,1,788,Partly Furnished,40000
Dubai Sports City,3,3,2334,Unfurnished,188000
Dubai Sports City,3,3,2162,Furnished,161000
Jumeirah Beach Residence (JBR),1,1,737,Unfurnished,90000
Dubai Sports City,0,1,525,Furnished,37000
Business Bay,1,2,1017,Partly Furnished,119000
Jumeirah Village Circle (JVC),2,2,1388,Furnished,135000
Discovery Gardens,3,3,2515,Furnished,195000
Discovery Gardens,2,2,1521,Unfurnished,101000
Jumeirah Lake Towers (JLT),1,1,722,Unfurnished,64000
Dubai Silicon Oasis,3,4,2055,Partly Furnished,142000
Al Nahda,1,1,745,Unfurnished,34000
Dubai Silicon Oasis,1,2,1043,Furnished,64000
Dubai Marina,0,1,582,Furnished,73000
Jumeirah Beach Residence (JBR),3,3,1977,Furnished,273000
Jumeirah Beach Residence (JBR),1,1,711,Unfurnished,80000
Dubai Marina,2,2,1309,Furnished,224000
Jumeirah Lake Towers (JLT),2,2,1480,Unfurnished,107000
Downtown Dubai,1,2,1134,Unfurnished,101000
International City,1,2,1164,Unfurnished,55000
Al Nahda,2,2,1229,Furnished,62000
Jumeirah Beach Residence (JBR),3,4,2447,Unfurnished,325000
International City,3,4,2473,Furnished,120000
Jumeirah Beach Residence (JBR),1,2,714,Furnished,95000
Downtown Dubai,2,3,1370,Unfurnished,156000
Dubai Marina,1,1,1008,Unfurnished,105000
Dubai Sports City,0,1,530,Furnished,47000
Discovery Gardens,1,2,905,Partly Furnished,52000
Downtown Dubai,2,3,1600,Unfurnished,207000
Jumeirah Beach Residence (JBR),1,2,976,Unfurnished,105000
Dubai Marina,2,3,1110,Furnished,176000
Downtown Dubai,0,1,563,Furnished,67000
Jumeirah Lake Towers (JLT),2,2,1691,Unfurnished,120000
Dubai Marina,2,3,1101,Partly Furnished,134000
Al Nahda,2,3,1202,Unfurnished,62000
Jumeirah Beach Residence (JBR),2,3,1205,Unfurnished,117000
Business Bay,2,3,1108,Furnished,112000
Discovery Gardens,2,3,1417,Furnished,97000
Dubai Silicon Oasis,2,3,1489,Furnished,113000
Jumeirah Beach Residence (JBR),1,2,713,Unfurnished,63000
Al Nahda,1,1,942,Unfurnished,53000
Palm Jumeirah,1,1,1008,Furnished,172000
Dubai Sports City,2,3,1648,Furnished,161000
International City,1,1,1144,Unfurnished,36000
International City,1,2,912,Furnished,51000
Dubai Silicon Oasis,1,2,1081,Furnished,71000
Jumeirah Beach Residence (JBR),2,3,1349,Furnished,203000
Dubai Silicon Oasis,3,4,1994,Unfurnished,134000
Jumeirah Village Circle (JVC),1,1,717,Furnished,61000
Jumeirah Beach Residence (JBR),2,3,1577,Unfurnished,174000
Dubai Marina,1,1,1121,Unfurnished,114000
Dubai Marina,1,2,930,Unfurnished,94000
Discovery Gardens,1,1,727,Unfurnished,39000
Jumeirah Village Circle (JVC),2,3,1400,Unfurnished,91000
Jumeirah Lake Towers (JLT),1,2,1157,Unfurnished,95000
Jumeirah Village Circle (JVC),1,2,870,Furnished,64000
Jumeirah Village Circle (JVC),1,1,1120,Unfurnished,81000
Dubai Silicon Oasis,2,3,1255,Furnished,97000
Dubai Sports City,0,1,479,Unfurnished,25000
Downtown Dubai,2,2,1297,Unfurnished,120000
Discovery Gardens,2,3,1589,Unfurnished,86000
Discovery Gardens,0,1,566,Furnished,42000
Discovery Gardens,1,2,1106,Furnished,56000
Dubai Marina,1,2,1133,Unfurnished,139000
Downtown Dubai,0,1,613,Unfurnished,72000
Jumeirah Village Circle (JVC),1,1,1010,Furnished,73000
Dubai Sports City,1,2,835,Furnished,68000
Jumeirah Lake Towers (JLT),2,3,1100,Unfurnished,94000
Dubai Marina,2,3,1319,Unfurnished,139000
Jumeirah Beach Residence (JBR),3,3,2387,Furnished,269000
Jumeirah Beach Residence (JBR),0,1,447,Unfurnished,48000
Jumeirah Beach Residence (JBR),2,3,1496,Furnished,218000
Al Nahda,0,1,438,Unfurnished,23000
Dubai Silicon Oasis,2,2,1572,Partly Furnished,104000
Palm Jumeirah,0,1,616,Furnished,114000
Jumeirah Village Circle (JVC),1,1,784,Furnished,66000
Palm Jumeirah,0,1,503,Unfurnished,59000
Business Bay,1,2,970,Unfurnished,101000
Dubai Silicon Oasis,2,2,1120,Unfurnished,56000
Jumeirah Beach Residence (JBR),3,3,2503,Furnished,315000
Dubai Marina,1,2,1033,Unfurnished,94000
Dubai Silicon Oasis,1,1,855,Partly Furnished,53000
Al Nahda,2,2,1688,Unfurnished,65000
Dubai Marina,2,3,1138,Partly Furnished,131000
Downtown Dubai,2,3,1135,Unfurnished,121000
Discovery Gardens,1,1,1061,Unfurnished,46000
Al Nahda,1,2,1092,Furnished,66000
Downtown Dubai,1,2,771,Furnished,112000
Dubai Marina,1,2,718,Furnished,107000
Jumeirah Beach Residence (JBR),2,3,1538,Partly Furnished,173000
Palm Jumeirah,3,3,2360,Unfurnished,265000
Jumeirah Village Circle (JVC),2,3,1622,Unfurnished,107000
Dubai Silicon Oasis,1,2,1019,Unfurnished,65000
Dubai Silicon Oasis,1,1,1124,Furnished,93000
Jumeirah Beach Residence (JBR),0,1,567,Unfurnished,78000
Jumeirah Village Circle (JVC),1,1,1052,Partly Furnished,73000
Downtown Dubai,1,1,895,Unfurnished,126000
Palm Jumeirah,0,1,509,Partly Furnished,90000
Jumeirah Village Circle (JVC),1,1,757,Unfurnished,60000
Downtown Dubai,2,2,1453,Unfurnished,165000
Jumeirah Village Circle (JVC),0,1,636,Furnished,46000
Business Bay,1,1,1099,Unfurnished,108000
Dubai Silicon Oasis,1,2,936,Unfurnished,60000
Business Bay,2,3,1463,Unfurnished,140000
Jumeirah Village Circle (JVC),1,2,930,Furnished,82000
Dubai Sports City,1,1,841,Unfurnished,46000
Dubai Sports City,1,2,1174,Unfurnished,80000
Al Nahda,1,2,895,Furnished,50000
Discovery Gardens,2,3,1200,Unfurnished,62000
Dubai Sports City,1,1,990,Furnished,83000
Dubai Silicon Oasis,0,1,356,Unfurnished,17000
Palm Jumeirah,1,2,1118,Unfurnished,185000
Jumeirah Beach Residence (JBR),2,2,1352,Furnished,222000
Business Bay,2,3,1337,Unfurnished,128000
Jumeirah Beach Residence (JBR),0,1,466,Unfurnished,52000
Downtown Dubai,1,1,1143,Furnished,148000
International City,3,4,2357,Unfurnished,100000
Dubai Sports City,0,1,479,Furnished,30000
Al Nahda,2,3,1444,Unfurnished,77000
Downtown Dubai,2,2,1182,Unfurnished,124000
Dubai Sports City,1,1,779,Furnished,67000
Jumeirah Lake Towers (JLT),1,1,1058,Unfurnished,78000
Downtown Dubai,2,3,1162,Furnished,173000
Downtown Dubai,1,1,791,Unfurnished,81000
International City,4,4,2885,Unfurnished,122000
Dubai Silicon Oasis,2,2,1522,Furnished,113000
Al Nahda,2,2,1437,Unfurnished,56000
Al Nahda,1,1,890,Unfurnished,37000
Palm Jumeirah,0,1,383,Unfurnished,56000
Downtown Dubai,1,2,1112,Unfurnished,160000
Al Nahda,4,4,3643,Unfurnished,189000
Dubai Marina,1,2,941,Unfurnished,114000
Palm Jumeirah,2,3,1299,Unfurnished,201000
Dubai Marina,3,3,2115,Furnished,247000
International City,0,1,436,Furnished,17000
Dubai Marina,0,1,482,Partly Furnished,53000
Discovery Gardens,4,5,2898,Furnished,206000
Jumeirah Beach Residence (JBR),1,1,1049,Furnished,120000
Jumeirah Village Circle (JVC),0,1,569,Furnished,51000
Dubai Marina,4,4,3445,Unfurnished,311000
International City,0,1,566,Partly Furnished,23000
Jumeirah Beach Residence (JBR),2,3,1587,Unfurnished,192000
International City,1,2,1079,Unfurnished,34000
International City,2,2,1587,Unfurnished,65000
Downtown Dubai,3,4,2424,Furnished,328000
International City,4,5,4067,Unfurnished,184000
Dubai Marina,1,1,1096,Unfurnished,144000
Jumeirah Village Circle (JVC),2,2,1335,Unfurnished,88000
Discovery Gardens,1,2,984,Furnished,56000
International City,0,1,399,Unfurnished,18000
International City,2,2,1520,Partly Furnished,66000
Al Nahda,2,2,1129,Furnished,76000
Jumeirah Lake Towers (JLT),1,2,885,Unfurnished,69000
Business Bay,4,5,4006,Unfurnished,412000
Jumeirah Beach Residence (JBR),2,3,1401,Furnished,167000
Discovery Gardens,2,3,1697,Furnished,135000
Dubai Sports City,0,1,470,Furnished,34000
Jumeirah Lake Towers (JLT),0,1,419,Furnished,50000
Jumeirah Beach Residence (JBR),1,2,1093,Furnished,156000
Business Bay,1,2,1058,Unfurnished,105000
Jumeirah Village Circle (JVC),2,3,1372,Partly Furnished,104000
Palm Jumeirah,0,1,535,Partly Furnished,83000
Discovery Gardens,2,3,1258,Unfurnished,63000
Discovery Gardens,0,1,501,Unfurnished,31000
Business Bay,2,3,1118,Unfurnished,90000
Dubai Silicon Oasis,1,2,1018,Unfurnished,66000
Jumeirah Lake Towers (JLT),4,5,3641,Furnished,374000
Dubai Marina,2,2,1498,Unfurnished,175000
Downtown Dubai,2,3,1604,Partly Furnished,235000
Dubai Silicon Oasis,2,3,1353,Partly Furnished,105000
International City,2,2,1525,Furnished,68000
International City,1,2,748,Unfurnished,38000
Dubai Marina,2,3,1394,Unfurnished,149000
Dubai Marina,2,3,1463,Unfurnished,174000
Al Nahda,4,5,3931,Unfurnished,167000
Jumeirah Beach Residence (JBR),1,2,969,Unfurnished,104000
Al Nahda,1,1,769,Unfurnished,34000
Business Bay,0,1,599,Partly Furnished,58000
Palm Jumeirah,2,3,1498,Unfurnished,235000
Jumeirah Lake Towers (JLT),2,2,1525,Furnished,180000
Dubai Marina,1,1,781,Unfurnished,84000
Jumeirah Beach Residence (JBR),1,1,1044,Furnished,163000
Jumeirah Lake Towers (JLT),0,1,466,Unfurnished,37000
Business Bay,2,2,1672,Unfurnished,158000
Palm Jumeirah,2,2,1628,Furnished,262000
Dubai Silicon Oasis,1,1,701,Furnished,43000
Al Nahda,3,3,2336,Furnished,138000
Dubai Sports City,0,1,408,Unfurnished,23000
Business Bay,1,1,976,Unfurnished,93000
International City,1,2,931,Furnished,59000
Discovery Gardens,1,1,867,Furnished,57000
Al Nahda,0,1,603,Unfurnished,26000
Downtown Dubai,2,2,1535,Unfurnished,162000
Discovery Gardens,1,1,967,Partly Furnished,54000
Al Nahda,2,2,1171,Furnished,74000
Business Bay,1,2,1015,Furnished,133000
Discovery Gardens,3,3,1982,Unfurnished,115000
Dubai Marina,1,2,707,Furnished,92000
Palm Jumeirah,1,2,1065,Unfurnished,176000
Business Bay,1,2,828,Unfurnished,100000
Dubai Marina,2,3,1201,Furnished,155000
Dubai Marina,2,2,1452,Unfurnished,162000
Dubai Sports City,1,1,888,Unfurnished,56000
Al Nahda,0,1,409,Unfurnished,21000
Palm Jumeirah,1,1,915,Unfurnished,135000
Business Bay,1,1,855,Furnished,83000
Business Bay,0,1,390,Furnished,43000
International City,1,2,849,Furnished,53000
Jumeirah Beach Residence (JBR),1,1,911,Furnished,104000
Dubai Sports City,0,1,396,Unfurnished,27000
Jumeirah Lake Towers (JLT),2,2,1290,Unfurnished,115000
Jumeirah Beach Residence (JBR),1,1,926,Furnished,132000
Discovery Gardens,3,3,2250,Furnished,131000
Discovery Gardens,2,3,1350,Unfurnished,60000
Business Bay,1,2,799,Unfurnished,65000
Al Nahda,2,2,1695,Unfurnished,72000
Dubai Silicon Oasis,4,5,4467,Furnished,424000
Business Bay,2,3,1272,Furnished,162000
Downtown Dubai,2,3,1497,Unfurnished,139000
Dubai Marina,1,1,1019,Partly Furnished,114000
Discovery Gardens,0,1,571,Partly Furnished,29000
Jumeirah Village Circle (JVC),3,3,2321,Unfurnished,192000
Business Bay,1,2,1068,Unfurnished,96000
Downtown Dubai,2,2,1424,Unfurnished,151000
Downtown Dubai,2,2,1544,Unfurnished,194000
Jumeirah Lake Towers (JLT),4,5,3824,Furnished,355000
Palm Jumeirah,1,1,1060,Unfurnished,116000
Discovery Gardens,3,4,2487,Furnished,178000
Business Bay,0,1,609,Unfurnished,61000
Palm Jumeirah,4,5,2846,Furnished,494000
Dubai Sports City,0,1,502,Unfurnished,27000
Dubai Silicon Oasis,3,3,2079,Unfurnished,122000
Al Nahda,2,3,1390,Unfurnished,68000
Dubai Sports City,1,1,1001,Unfurnished,77000
Jumeirah Village Circle (JVC),1,1,1040,Unfurnished,61000
Al Nahda,0,1,582,Unfurnished,24000
Downtown Dubai,0,1,408,Partly Furnished,62000
Dubai Marina,2,2,1432,Furnished,159000
Dubai Marina,2,3,1555,Furnished,191000
Dubai Sports City,1,2,802,Furnished,75000
Palm Jumeirah,0,1,507,Unfurnished,58000
Al Nahda,2,3,1423,Unfurnished,66000
Downtown Dubai,0,1,433,Furnished,60000
Jumeirah Lake Towers (JLT),2,3,1204,Furnished,146000
International City,1,1,817,Unfurnished,27000
Al Nahda,2,2,1613,Partly Furnished,107000
Palm Jumeirah,2,2,1367,Unfurnished,186000
Jumeirah Village Circle (JVC),0,1,562,Furnished,42000
Palm Jumeirah,2,3,1376,Furnished,233000
Downtown Dubai,1,1,1185,Furnished,184000
Business Bay,2,3,1271,Furnished,145000
Jumeirah Lake Towers (JLT),2,3,1217,Furnished,132000
Downtown Dubai,1,1,706,Unfurnished,95000
Jumeirah Lake Towers (JLT),1,1,901,Furnished,95000
Jumeirah Beach Residence (JBR),0,1,475,Partly Furnished,53000
Discovery Gardens,1,2,815,Partly Furnished,44000
Jumeirah Beach Residence (JBR),1,2,1024,Unfurnished,138000
Discovery Gardens,0,1,503,Unfurnished,21000
Dubai Marina,1,2,961,Furnished,119000
Jumeirah Lake Towers (JLT),3,3,2248,Furnished,231000
Al Nahda,2,3,1300,Furnished,79000
Jumeirah Village Circle (JVC),1,1,923,Unfurnished,59000
International City,2,3,1464,Furnished,85000
Dubai Sports City,1,2,808,Unfurnished,41000
Palm Jumeirah,1,2,838,Partly Furnished,119000
Jumeirah Beach Residence (JBR),0,1,460,Furnished,60000
Palm Jumeirah,2,3,1203,Unfurnished,180000
Palm Jumeirah,2,3,1383,Furnished,274000
Jumeirah Village Circle (JVC),0,1,440,Furnished,41000
Downtown Dubai,3,3,2457,Furnished,332000
Palm Jumeirah,1,2,711,Furnished,142000
Dubai Sports City,0,1,419,Partly Furnished,27000
Jumeirah Lake Towers (JLT),1,2,1106,Unfurnished,92000
Jumeirah Village Circle (JVC),2,2,1181,Unfurnished,84000
Discovery Gardens,2,2,1147,Furnished,56000
Dubai Sports City,2,2,1246,Unfurnished,65000
Jumeirah Beach Residence (JBR),4,4,2786,Furnished,470000
Business Bay,0,1,403,Partly Furnished,47000
Palm Jumeirah,2,2,1646,Unfurnished,237000
Dubai Sports City,4,5,3293,Furnished,217000
Dubai Marina,2,2,1648,Furnished,195000
Jumeirah Village Circle (JVC),2,3,1300,Furnished,128000
Downtown Dubai,0,1,614,Furnished,87000
Dubai Silicon Oasis,0,1,424,Unfurnished,23000
Jumeirah Beach Residence (JBR),3,4,1744,Furnished,238000
Jumeirah Beach Residence (JBR),0,1,511,Furnished,71000
Dubai Silicon Oasis,0,1,362,Furnished,26000
Jumeirah Lake Towers (JLT),1,1,1161,Unfurnished,79000
Business Bay,2,2,1420,Partly Furnished,123000
Jumeirah Beach Residence (JBR),1,1,1012,Furnished,130000
Jumeirah Beach Residence (JBR),3,4,1709,Furnished,252000
Downtown Dubai,1,2,1111,Unfurnished,118000
Discovery Gardens,2,3,1304,Furnished,91000
Jumeirah Beach Residence (JBR),1,2,1037,Furnished,152000
Jumeirah Village Circle (JVC),1,1,1178,Unfurnished,92000
Jumeirah Lake Towers (JLT),2,2,1442,Partly Furnished,125000
Business Bay,3,4,1856,Furnished,237000
Dubai Marina,2,3,1527,Partly Furnished,223000
Business Bay,1,2,811,Furnished,98000
Jumeirah Lake Towers (JLT),0,1,566,Furnished,44000
Discovery Gardens,2,2,1200,Furnished,95000
Al Nahda,2,3,1632,Unfurnished,92000
Jumeirah Village Circle (JVC),0,1,377,Furnished,29000
Discovery Gardens,2,2,1335,Unfurnished,75000
Al Nahda,2,3,1130,Furnished,70000
Jumeirah Lake Towers (JLT),2,3,1199,Furnished,124000
Downtown Dubai,0,1,612,Unfurnished,88000
Dubai Marina,0,1,377,Furnished,47000
Business Bay,1,1,712,Unfurnished,59000
Palm Jumeirah,1,1,773,Unfurnished,96000
